Subject,Course Score,Learning Score,Quiz Score,Recommendation
Network and System Administration,38,73,94,Network and System Administration
Network and System Administration,99,54,29,Network and System Administration
Network and System Administration,8,36,50,Network and System Administration
Network and System Administration,82,87,29,Network and System Administration
Network and System Administration,15,66,4,Network and System Administration
Network and System Administration,65,90,43,IT Project Management
Network and System Administration,58,82,86,IT Project Management
Network and System Administration,12,53,60,Network and System Administration
Network and System Administration,38,28,91,Network and System Administration
Network and System Administration,78,63,24,Network and System Administration
Network and System Administration,89,56,35,Network and System Administration
Network and System Administration,19,68,78,Network and System Administration
Network and System Administration,53,19,88,Network and System Administration
Network and System Administration,43,44,28,Network and System Administration
Network and System Administration,70,29,84,Network and System Administration
Network and System Administration,57,78,83,IT Project Management
Network and System Administration,59,19,34,Network and System Administration
Network and System Administration,76,39,53,Network and System Administration
Network and System Administration,83,91,77,Cloud Computing
Network and System Administration,15,42,43,Network and System Administration
Network and System Administration,96,90,48,IT Project Management
Network and System Administration,83,50,48,IT Project Management
Network and System Administration,55,5,22,Network and System Administration
Network and System Administration,98,31,62,Network and System Administration
Network and System Administration,96,46,93,IT Project Management
Network and System Administration,10,84,89,Network and System Administration
Network and System Administration,0,15,91,Network and System Administration
Network and System Administration,36,64,61,Network and System Administration
Network and System Administration,36,23,5,Network and System Administration
Network and System Administration,30,78,5,Network and System Administration
Network and System Administration,34,98,6,Network and System Administration
Network and System Administration,64,76,37,Network and System Administration
Network and System Administration,87,95,94,Cloud Computing
Network and System Administration,39,90,19,Network and System Administration
Network and System Administration,46,97,52,IT Project Management
Network and System Administration,23,67,80,Network and System Administration
Network and System Administration,20,12,7,Network and System Administration
Network and System Administration,96,73,90,Cloud Computing
Network and System Administration,23,84,52,Network and System Administration
Network and System Administration,41,28,2,Network and System Administration
Network and System Administration,33,39,64,Network and System Administration
Network and System Administration,8,2,32,Network and System Administration
Network and System Administration,74,22,85,Network and System Administration
Network and System Administration,34,50,21,Network and System Administration
Network and System Administration,82,98,74,Cloud Computing
Network and System Administration,100,65,94,IT Project Management
Network and System Administration,19,28,50,Network and System Administration
Network and System Administration,38,0,99,Network and System Administration
Network and System Administration,59,81,68,IT Project Management
Network and System Administration,99,50,83,IT Project Management
Network and System Administration,66,4,52,Network and System Administration
Network and System Administration,44,97,63,IT Project Management
Network and System Administration,93,71,4,Network and System Administration
Network and System Administration,45,5,63,Network and System Administration
Network and System Administration,9,81,8,Network and System Administration
Network and System Administration,40,5,94,Network and System Administration
Network and System Administration,32,19,99,Network and System Administration
Network and System Administration,62,99,45,IT Project Management
Network and System Administration,46,9,100,Network and System Administration
Network and System Administration,10,4,15,Network and System Administration
Network and System Administration,28,74,3,Network and System Administration
Network and System Administration,85,8,95,Network and System Administration
Network and System Administration,62,14,78,Network and System Administration
Network and System Administration,85,78,0,Network and System Administration
Network and System Administration,32,48,34,Network and System Administration
Network and System Administration,52,41,26,Network and System Administration
Network and System Administration,17,33,62,Network and System Administration
Network and System Administration,46,37,88,Network and System Administration
Network and System Administration,63,4,77,Network and System Administration
Network and System Administration,48,31,41,Network and System Administration
Network and System Administration,96,40,37,Network and System Administration
Network and System Administration,99,17,29,Network and System Administration
Network and System Administration,0,18,59,Network and System Administration
Network and System Administration,72,63,67,IT Project Management
Network and System Administration,0,26,19,Network and System Administration
Network and System Administration,100,55,46,IT Project Management
Network and System Administration,52,19,47,Network and System Administration
Network and System Administration,94,81,30,Network and System Administration
Network and System Administration,8,68,70,Network and System Administration
Network and System Administration,37,78,27,Network and System Administration
Network and System Administration,56,93,31,Network and System Administration
Network and System Administration,67,32,61,Network and System Administration
Network and System Administration,37,63,22,Network and System Administration
Network and System Administration,30,10,62,Network and System Administration
Network and System Administration,89,35,84,Network and System Administration
Network and System Administration,5,78,34,Network and System Administration
Network and System Administration,84,79,59,IT Project Management
Network and System Administration,85,76,75,Cloud Computing
Network and System Administration,23,20,55,Network and System Administration
Network and System Administration,41,8,79,Network and System Administration
Network and System Administration,78,87,21,Network and System Administration
Network and System Administration,84,68,13,Network and System Administration
Network and System Administration,76,48,93,IT Project Management
Network and System Administration,3,4,63,Network and System Administration
Network and System Administration,18,28,55,Network and System Administration
Network and System Administration,23,15,61,Network and System Administration
Network and System Administration,90,44,79,IT Project Management
Network and System Administration,53,82,92,IT Project Management
Network and System Administration,53,46,8,Network and System Administration
Network and System Administration,71,98,9,Network and System Administration
Network and System Administration,62,25,63,Network and System Administration
Network and System Administration,32,18,29,Network and System Administration
Network and System Administration,1,26,95,Network and System Administration
Network and System Administration,6,39,68,Network and System Administration
Network and System Administration,37,74,83,Network and System Administration
Network and System Administration,5,28,50,Network and System Administration
Network and System Administration,35,8,38,Network and System Administration
Network and System Administration,66,66,33,Network and System Administration
Network and System Administration,15,65,43,Network and System Administration
Network and System Administration,20,1,4,Network and System Administration
Network and System Administration,85,47,3,Network and System Administration
Network and System Administration,11,78,79,Network and System Administration
Network and System Administration,18,19,96,Network and System Administration
Network and System Administration,56,21,73,Network and System Administration
Network and System Administration,27,77,88,Network and System Administration
Network and System Administration,6,17,78,Network and System Administration
Network and System Administration,47,17,15,Network and System Administration
Network and System Administration,61,12,23,Network and System Administration
Network and System Administration,49,97,11,Network and System Administration
Network and System Administration,51,79,98,IT Project Management
Network and System Administration,2,75,87,Network and System Administration
Network and System Administration,7,41,97,Network and System Administration
Network and System Administration,33,50,9,Network and System Administration
Network and System Administration,13,47,63,Network and System Administration
Network and System Administration,95,61,35,Network and System Administration
Network and System Administration,72,14,67,Network and System Administration
Network and System Administration,4,19,67,Network and System Administration
Network and System Administration,92,8,26,Network and System Administration
Network and System Administration,17,11,58,Network and System Administration
Network and System Administration,80,3,55,Network and System Administration
Network and System Administration,58,67,13,Network and System Administration
Network and System Administration,97,45,100,IT Project Management
Network and System Administration,8,75,42,Network and System Administration
Network and System Administration,1,3,78,Network and System Administration
Network and System Administration,9,33,13,Network and System Administration
Network and System Administration,19,4,63,Network and System Administration
Network and System Administration,2,4,93,Network and System Administration
Network and System Administration,23,78,25,Network and System Administration
Network and System Administration,6,47,43,Network and System Administration
Network and System Administration,29,92,35,Network and System Administration
Network and System Administration,71,6,0,Network and System Administration
Network and System Administration,47,25,92,Network and System Administration
Network and System Administration,14,66,24,Network and System Administration
Network and System Administration,58,35,65,Network and System Administration
Network and System Administration,16,74,2,Network and System Administration
Network and System Administration,61,30,8,Network and System Administration
Network and System Administration,62,97,30,Network and System Administration
Network and System Administration,56,87,85,IT Project Management
Network and System Administration,34,57,56,Network and System Administration
Network and System Administration,86,96,89,Cloud Computing
Network and System Administration,87,20,27,Network and System Administration
Network and System Administration,3,75,19,Network and System Administration
Network and System Administration,13,28,45,Network and System Administration
Network and System Administration,55,36,46,Network and System Administration
Network and System Administration,43,73,34,Network and System Administration
Network and System Administration,26,43,36,Network and System Administration
Network and System Administration,27,94,8,Network and System Administration
Network and System Administration,31,97,98,Network and System Administration
Network and System Administration,4,60,75,Network and System Administration
Network and System Administration,3,16,51,Network and System Administration
Network and System Administration,83,38,80,Network and System Administration
Network and System Administration,65,14,87,Network and System Administration
Network and System Administration,58,3,49,Network and System Administration
Network and System Administration,91,13,96,Network and System Administration
Network and System Administration,76,5,81,Network and System Administration
Network and System Administration,16,98,24,Network and System Administration
Network and System Administration,75,9,77,Network and System Administration
Network and System Administration,92,34,7,Network and System Administration
Network and System Administration,99,34,2,Network and System Administration
Network and System Administration,66,38,39,Network and System Administration
Network and System Administration,3,50,9,Network and System Administration
Network and System Administration,30,47,34,Network and System Administration
Network and System Administration,74,46,37,Network and System Administration
Network and System Administration,77,9,12,Network and System Administration
Network and System Administration,97,89,61,IT Project Management
Network and System Administration,50,44,91,IT Project Management
Network and System Administration,7,53,53,Network and System Administration
Network and System Administration,32,25,48,Network and System Administration
Network and System Administration,24,1,70,Network and System Administration
Network and System Administration,56,18,1,Network and System Administration
Network and System Administration,94,18,91,Network and System Administration
Network and System Administration,20,60,10,Network and System Administration
Network and System Administration,24,66,79,Network and System Administration
Network and System Administration,55,50,1,Network and System Administration
Network and System Administration,90,46,84,IT Project Management
Network and System Administration,84,58,67,IT Project Management
Network and System Administration,64,59,3,Network and System Administration
Network and System Administration,45,63,28,Network and System Administration
Network and System Administration,83,93,74,Cloud Computing
Network and System Administration,46,84,21,Network and System Administration
Network and System Administration,91,17,14,Network and System Administration
Network and System Administration,92,36,86,Network and System Administration
Network and System Administration,97,43,3,Network and System Administration
Network and System Administration,60,89,4,Network and System Administration
Network and System Administration,39,80,29,Network and System Administration
Network and System Administration,37,93,39,Network and System Administration
Network and System Administration,35,84,10,Network and System Administration
Network and System Administration,39,61,7,Network and System Administration
Network and System Administration,68,16,94,Network and System Administration
Network and System Administration,59,12,0,Network and System Administration
Network and System Administration,67,0,70,Network and System Administration
Network and System Administration,71,54,14,Network and System Administration
Network and System Administration,33,31,74,Network and System Administration
Network and System Administration,29,69,93,Network and System Administration
Network and System Administration,98,30,20,Network and System Administration
Network and System Administration,34,35,83,Network and System Administration
Network and System Administration,86,18,37,Network and System Administration
Network and System Administration,79,54,42,IT Project Management
Network and System Administration,97,88,81,Cloud Computing
Network and System Administration,95,50,77,IT Project Management
Network and System Administration,60,35,51,Network and System Administration
Network and System Administration,26,37,32,Network and System Administration
Network and System Administration,59,62,34,Network and System Administration
Network and System Administration,64,77,100,IT Project Management
Network and System Administration,33,49,14,Network and System Administration
Network and System Administration,18,27,25,Network and System Administration
Network and System Administration,76,6,69,Network and System Administration
Network and System Administration,47,57,89,IT Project Management
Network and System Administration,52,51,43,Cloud Computing
Network and System Administration,89,5,92,Network and System Administration
Network and System Administration,43,68,61,Cloud Computing
Network and System Administration,16,47,73,Network and System Administration
Network and System Administration,79,39,11,Network and System Administration
Network and System Administration,48,6,51,Network and System Administration
Network and System Administration,18,62,46,Network and System Administration
Network and System Administration,57,97,43,IT Project Management
Network and System Administration,73,76,95,Cloud Computing
Network and System Administration,15,4,48,Network and System Administration
Network and System Administration,10,24,91,Network and System Administration
Network and System Administration,68,95,31,Network and System Administration
Network and System Administration,45,79,80,IT Project Management
Network and System Administration,19,74,62,Network and System Administration
Network and System Administration,47,54,85,IT Project Management
Network and System Administration,94,8,64,Network and System Administration
Network and System Administration,32,31,11,Network and System Administration
Network and System Administration,87,64,86,IT Project Management
Network and System Administration,30,40,80,Network and System Administration
Network and System Administration,27,26,52,Network and System Administration
Network and System Administration,55,5,20,Network and System Administration
Network and System Administration,86,21,35,Network and System Administration
Network and System Administration,47,41,61,Cloud Computing
Network and System Administration,26,67,80,Network and System Administration
Network and System Administration,75,41,88,IT Project Management
Network and System Administration,88,84,22,Network and System Administration
Network and System Administration,35,25,51,Network and System Administration
Network and System Administration,10,75,21,Network and System Administration
Network and System Administration,86,66,63,IT Project Management
Network and System Administration,17,87,5,Network and System Administration
Network and System Administration,84,18,23,Network and System Administration
Network and System Administration,57,75,35,Network and System Administration
Network and System Administration,36,18,87,Network and System Administration
Network and System Administration,87,1,39,Network and System Administration
Network and System Administration,43,29,85,Network and System Administration
Data Science and Analytics,93,52,19,Data Science and Analytics
Data Science and Analytics,42,63,91,IT Project Management
Data Science and Analytics,4,79,22,Data Science and Analytics
Data Science and Analytics,59,94,85,IT Project Management
Data Science and Analytics,31,36,26,Data Science and Analytics
Data Science and Analytics,65,52,92,IT Project Management
Data Science and Analytics,47,67,71,IT Project Management
Data Science and Analytics,51,19,44,Data Science and Analytics
Data Science and Analytics,22,26,67,Data Science and Analytics
Data Science and Analytics,42,65,52,Artificial Intelligence and Machine Learning
Data Science and Analytics,34,99,20,Data Science and Analytics
Data Science and Analytics,78,88,62,IT Project Management
Data Science and Analytics,78,50,33,Data Science and Analytics
Data Science and Analytics,100,7,97,Data Science and Analytics
Data Science and Analytics,20,81,48,Data Science and Analytics
Data Science and Analytics,41,65,40,Artificial Intelligence and Machine Learning
Data Science and Analytics,58,75,11,Data Science and Analytics
Data Science and Analytics,46,38,100,Data Science and Analytics
Data Science and Analytics,76,2,95,Data Science and Analytics
Data Science and Analytics,66,75,57,IT Project Management
Data Science and Analytics,45,8,18,Data Science and Analytics
Data Science and Analytics,64,45,70,Artificial Intelligence and Machine Learning
Data Science and Analytics,47,83,79,IT Project Management
Data Science and Analytics,7,16,29,Data Science and Analytics
Data Science and Analytics,95,78,1,Data Science and Analytics
Data Science and Analytics,68,70,8,Data Science and Analytics
Data Science and Analytics,48,24,16,Data Science and Analytics
Data Science and Analytics,33,27,66,Data Science and Analytics
Data Science and Analytics,6,100,11,Data Science and Analytics
Data Science and Analytics,35,80,82,Data Science and Analytics
Data Science and Analytics,43,47,87,IT Project Management
Data Science and Analytics,42,5,54,Data Science and Analytics
Data Science and Analytics,52,98,30,Data Science and Analytics
Data Science and Analytics,3,47,69,Data Science and Analytics
Data Science and Analytics,89,79,25,Data Science and Analytics
Data Science and Analytics,17,32,89,Data Science and Analytics
Data Science and Analytics,32,80,29,Data Science and Analytics
Data Science and Analytics,38,19,30,Data Science and Analytics
Data Science and Analytics,54,75,86,IT Project Management
Data Science and Analytics,57,68,81,IT Project Management
Data Science and Analytics,59,60,49,Artificial Intelligence and Machine Learning
Data Science and Analytics,92,59,56,IT Project Management
Data Science and Analytics,78,6,74,Data Science and Analytics
Data Science and Analytics,87,17,17,Data Science and Analytics
Data Science and Analytics,74,48,62,IT Project Management
Data Science and Analytics,29,54,48,Data Science and Analytics
Data Science and Analytics,34,19,69,Data Science and Analytics
Data Science and Analytics,34,50,9,Data Science and Analytics
Data Science and Analytics,73,45,96,IT Project Management
Data Science and Analytics,53,51,34,Data Science and Analytics
Data Science and Analytics,39,54,80,Data Science and Analytics
Data Science and Analytics,47,51,19,Data Science and Analytics
Data Science and Analytics,12,7,97,Data Science and Analytics
Data Science and Analytics,50,49,96,IT Project Management
Data Science and Analytics,100,72,30,Data Science and Analytics
Data Science and Analytics,79,23,71,Data Science and Analytics
Data Science and Analytics,11,7,57,Data Science and Analytics
Data Science and Analytics,81,94,65,IT Project Management
Data Science and Analytics,70,14,45,Data Science and Analytics
Data Science and Analytics,4,56,69,Data Science and Analytics
Data Science and Analytics,49,17,85,Data Science and Analytics
Data Science and Analytics,38,85,12,Data Science and Analytics
Data Science and Analytics,75,83,44,IT Project Management
Data Science and Analytics,11,95,47,Data Science and Analytics
Data Science and Analytics,67,26,44,Data Science and Analytics
Data Science and Analytics,3,32,2,Data Science and Analytics
Data Science and Analytics,44,18,1,Data Science and Analytics
Data Science and Analytics,82,23,26,Data Science and Analytics
Data Science and Analytics,47,55,76,IT Project Management
Data Science and Analytics,35,23,69,Data Science and Analytics
Data Science and Analytics,60,75,81,IT Project Management
Data Science and Analytics,95,95,74,Artificial Intelligence and Machine Learning
Data Science and Analytics,61,56,50,Artificial Intelligence and Machine Learning
Data Science and Analytics,93,75,19,Data Science and Analytics
Data Science and Analytics,20,32,93,Data Science and Analytics
Data Science and Analytics,32,90,34,Data Science and Analytics
Data Science and Analytics,63,97,47,IT Project Management
Data Science and Analytics,21,98,35,Data Science and Analytics
Data Science and Analytics,14,46,12,Data Science and Analytics
Data Science and Analytics,33,56,87,Data Science and Analytics
Data Science and Analytics,72,85,79,Artificial Intelligence and Machine Learning
Data Science and Analytics,67,34,47,Data Science and Analytics
Data Science and Analytics,87,26,24,Data Science and Analytics
Data Science and Analytics,78,42,51,IT Project Management
Data Science and Analytics,85,36,29,Data Science and Analytics
Data Science and Analytics,56,65,22,Data Science and Analytics
Data Science and Analytics,42,72,60,IT Project Management
Data Science and Analytics,31,90,90,Data Science and Analytics
Data Science and Analytics,84,92,10,Data Science and Analytics
Data Science and Analytics,28,1,83,Data Science and Analytics
Data Science and Analytics,32,64,20,Data Science and Analytics
Data Science and Analytics,46,16,25,Data Science and Analytics
Data Science and Analytics,58,32,32,Data Science and Analytics
Data Science and Analytics,76,35,74,Data Science and Analytics
Data Science and Analytics,90,60,53,IT Project Management
Data Science and Analytics,16,24,90,Data Science and Analytics
Data Science and Analytics,68,21,74,Data Science and Analytics
Data Science and Analytics,21,60,49,Data Science and Analytics
Data Science and Analytics,19,21,3,Data Science and Analytics
Data Science and Analytics,15,63,66,Data Science and Analytics
Data Science and Analytics,17,95,48,Data Science and Analytics
Data Science and Analytics,49,30,34,Data Science and Analytics
Data Science and Analytics,67,74,71,IT Project Management
Data Science and Analytics,100,69,30,Data Science and Analytics
Data Science and Analytics,17,69,76,Data Science and Analytics
Data Science and Analytics,52,36,40,Data Science and Analytics
Data Science and Analytics,5,6,54,Data Science and Analytics
Data Science and Analytics,92,38,6,Data Science and Analytics
Data Science and Analytics,78,96,62,IT Project Management
Data Science and Analytics,9,37,60,Data Science and Analytics
Data Science and Analytics,76,78,62,IT Project Management
Data Science and Analytics,93,75,1,Data Science and Analytics
Data Science and Analytics,47,10,57,Data Science and Analytics
Data Science and Analytics,93,65,2,Data Science and Analytics
Data Science and Analytics,22,91,30,Data Science and Analytics
Data Science and Analytics,70,36,74,Data Science and Analytics
Data Science and Analytics,47,31,27,Data Science and Analytics
Data Science and Analytics,94,76,36,Data Science and Analytics
Data Science and Analytics,91,23,24,Data Science and Analytics
Data Science and Analytics,70,16,60,Data Science and Analytics
Data Science and Analytics,2,41,94,Data Science and Analytics
Data Science and Analytics,18,98,71,Data Science and Analytics
Data Science and Analytics,60,89,63,IT Project Management
Data Science and Analytics,73,45,1,Data Science and Analytics
Data Science and Analytics,94,24,36,Data Science and Analytics
Data Science and Analytics,2,12,63,Data Science and Analytics
Data Science and Analytics,65,94,50,IT Project Management
Data Science and Analytics,16,33,9,Data Science and Analytics
Data Science and Analytics,77,29,11,Data Science and Analytics
Data Science and Analytics,88,21,45,Data Science and Analytics
Data Science and Analytics,72,26,75,Data Science and Analytics
Data Science and Analytics,52,37,57,Data Science and Analytics
Data Science and Analytics,100,94,29,Data Science and Analytics
Data Science and Analytics,75,61,45,IT Project Management
Data Science and Analytics,7,0,58,Data Science and Analytics
Data Science and Analytics,75,59,46,IT Project Management
Data Science and Analytics,72,19,67,Data Science and Analytics
Data Science and Analytics,74,54,38,Data Science and Analytics
Data Science and Analytics,26,3,56,Data Science and Analytics
Data Science and Analytics,20,23,75,Data Science and Analytics
Data Science and Analytics,7,72,95,Data Science and Analytics
Data Science and Analytics,18,25,65,Data Science and Analytics
Data Science and Analytics,36,83,8,Data Science and Analytics
Data Science and Analytics,60,6,45,Data Science and Analytics
Data Science and Analytics,58,27,81,Data Science and Analytics
Data Science and Analytics,34,30,83,Data Science and Analytics
Data Science and Analytics,23,67,18,Data Science and Analytics
Data Science and Analytics,90,46,91,IT Project Management
Data Science and Analytics,48,72,15,Data Science and Analytics
Data Science and Analytics,78,58,84,IT Project Management
Data Science and Analytics,90,68,83,IT Project Management
Data Science and Analytics,33,40,71,Data Science and Analytics
Data Science and Analytics,46,49,37,Data Science and Analytics
Data Science and Analytics,78,69,9,Data Science and Analytics
Data Science and Analytics,82,28,96,Data Science and Analytics
Data Science and Analytics,39,66,25,Data Science and Analytics
Data Science and Analytics,64,93,52,IT Project Management
Data Science and Analytics,10,87,22,Data Science and Analytics
Data Science and Analytics,54,10,13,Data Science and Analytics
Data Science and Analytics,91,0,75,Data Science and Analytics
Data Science and Analytics,55,33,88,Data Science and Analytics
Data Science and Analytics,15,51,18,Data Science and Analytics
Data Science and Analytics,88,31,5,Data Science and Analytics
Data Science and Analytics,86,37,63,Data Science and Analytics
Data Science and Analytics,92,23,70,Data Science and Analytics
Data Science and Analytics,71,57,97,IT Project Management
Data Science and Analytics,17,92,23,Data Science and Analytics
Data Science and Analytics,39,47,34,Data Science and Analytics
Data Science and Analytics,93,26,39,Data Science and Analytics
Data Science and Analytics,57,2,80,Data Science and Analytics
Data Science and Analytics,42,32,58,Data Science and Analytics
Data Science and Analytics,91,58,98,IT Project Management
Data Science and Analytics,76,93,78,Artificial Intelligence and Machine Learning
Data Science and Analytics,25,55,49,Data Science and Analytics
Data Science and Analytics,100,81,71,Artificial Intelligence and Machine Learning
Data Science and Analytics,46,43,70,Artificial Intelligence and Machine Learning
Data Science and Analytics,89,40,34,Data Science and Analytics
Data Science and Analytics,57,74,25,Data Science and Analytics
Data Science and Analytics,94,43,90,IT Project Management
Data Science and Analytics,0,55,64,Data Science and Analytics
Data Science and Analytics,24,12,58,Data Science and Analytics
Data Science and Analytics,86,55,25,Data Science and Analytics
Data Science and Analytics,1,76,85,Data Science and Analytics
Data Science and Analytics,91,67,3,Data Science and Analytics
Data Science and Analytics,56,58,13,Data Science and Analytics
Data Science and Analytics,42,0,86,Data Science and Analytics
Data Science and Analytics,47,35,21,Data Science and Analytics
Data Science and Analytics,58,93,72,IT Project Management
Data Science and Analytics,10,31,6,Data Science and Analytics
Data Science and Analytics,85,55,21,Data Science and Analytics
Data Science and Analytics,43,90,42,IT Project Management
Data Science and Analytics,0,59,7,Data Science and Analytics
Data Science and Analytics,83,54,18,Data Science and Analytics
Data Science and Analytics,14,74,14,Data Science and Analytics
Data Science and Analytics,84,88,27,Data Science and Analytics
Data Science and Analytics,11,40,13,Data Science and Analytics
Data Science and Analytics,86,94,22,Data Science and Analytics
Data Science and Analytics,67,16,75,Data Science and Analytics
Data Science and Analytics,1,31,97,Data Science and Analytics
Data Science and Analytics,35,13,57,Data Science and Analytics
Data Science and Analytics,72,55,25,Data Science and Analytics
Data Science and Analytics,96,87,16,Data Science and Analytics
Data Science and Analytics,36,4,5,Data Science and Analytics
Data Science and Analytics,36,45,16,Data Science and Analytics
Data Science and Analytics,25,64,86,Data Science and Analytics
Data Science and Analytics,48,0,95,Data Science and Analytics
Data Science and Analytics,20,24,77,Data Science and Analytics
Data Science and Analytics,67,32,79,Data Science and Analytics
Data Science and Analytics,50,58,76,IT Project Management
Data Science and Analytics,9,92,76,Data Science and Analytics
Data Science and Analytics,82,92,5,Data Science and Analytics
Data Science and Analytics,26,20,53,Data Science and Analytics
Data Science and Analytics,38,67,87,Data Science and Analytics
Data Science and Analytics,94,76,100,Artificial Intelligence and Machine Learning
Data Science and Analytics,10,51,80,Data Science and Analytics
Data Science and Analytics,91,68,18,Data Science and Analytics
Data Science and Analytics,57,90,68,IT Project Management
Data Science and Analytics,35,28,12,Data Science and Analytics
Data Science and Analytics,42,98,27,Data Science and Analytics
Data Science and Analytics,32,94,80,Data Science and Analytics
Data Science and Analytics,6,71,81,Data Science and Analytics
Data Science and Analytics,76,75,28,Data Science and Analytics
Data Science and Analytics,66,19,70,Data Science and Analytics
Data Science and Analytics,20,20,87,Data Science and Analytics
Data Science and Analytics,4,21,20,Data Science and Analytics
Data Science and Analytics,16,3,33,Data Science and Analytics
Data Science and Analytics,57,44,25,Data Science and Analytics
Data Science and Analytics,36,54,62,Data Science and Analytics
Data Science and Analytics,27,26,4,Data Science and Analytics
Data Science and Analytics,30,13,74,Data Science and Analytics
Data Science and Analytics,24,16,91,Data Science and Analytics
Data Science and Analytics,65,95,34,Data Science and Analytics
Data Science and Analytics,66,43,31,Data Science and Analytics
Data Science and Analytics,70,61,44,Artificial Intelligence and Machine Learning
Data Science and Analytics,7,80,70,Data Science and Analytics
Data Science and Analytics,4,100,27,Data Science and Analytics
Data Science and Analytics,56,52,5,Data Science and Analytics
Data Science and Analytics,11,91,20,Data Science and Analytics
Data Science and Analytics,50,96,0,Data Science and Analytics
Data Science and Analytics,90,78,37,Data Science and Analytics
Data Science and Analytics,44,91,15,Data Science and Analytics
Data Science and Analytics,97,99,65,IT Project Management
Data Science and Analytics,82,35,53,Data Science and Analytics
Data Science and Analytics,91,1,54,Data Science and Analytics
Data Science and Analytics,3,69,59,Data Science and Analytics
Data Science and Analytics,68,75,57,IT Project Management
Data Science and Analytics,30,44,82,Data Science and Analytics
Data Science and Analytics,34,3,65,Data Science and Analytics
Data Science and Analytics,83,76,85,Artificial Intelligence and Machine Learning
Data Science and Analytics,72,48,64,IT Project Management
Data Science and Analytics,28,71,26,Data Science and Analytics
Data Science and Analytics,91,27,78,Data Science and Analytics
Data Science and Analytics,61,91,86,IT Project Management
Data Science and Analytics,15,59,9,Data Science and Analytics
Data Science and Analytics,80,85,72,Artificial Intelligence and Machine Learning
Data Science and Analytics,90,30,68,Data Science and Analytics
Data Science and Analytics,43,68,97,IT Project Management
Data Science and Analytics,72,80,70,IT Project Management
Data Science and Analytics,47,25,15,Data Science and Analytics
Data Science and Analytics,65,7,31,Data Science and Analytics
Data Science and Analytics,50,26,4,Data Science and Analytics
Data Science and Analytics,3,52,62,Data Science and Analytics
Data Science and Analytics,70,72,69,IT Project Management
Data Science and Analytics,70,15,6,Data Science and Analytics
Data Science and Analytics,71,12,41,Data Science and Analytics
Data Science and Analytics,75,94,3,Data Science and Analytics
Data Science and Analytics,8,76,27,Data Science and Analytics
Data Science and Analytics,18,72,67,Data Science and Analytics
Data Science and Analytics,52,82,3,Data Science and Analytics
Data Science and Analytics,6,96,8,Data Science and Analytics
Data Science and Analytics,63,2,95,Data Science and Analytics
Data Science and Analytics,9,2,6,Data Science and Analytics
Data Science and Analytics,27,36,53,Data Science and Analytics
Data Science and Analytics,37,60,79,Data Science and Analytics
Data Science and Analytics,97,58,31,Data Science and Analytics
Data Science and Analytics,22,61,61,Data Science and Analytics
Data Science and Analytics,84,46,97,IT Project Management
Data Science and Analytics,89,94,6,Data Science and Analytics
Data Science and Analytics,74,9,91,Data Science and Analytics
Data Science and Analytics,78,58,6,Data Science and Analytics
Data Science and Analytics,43,87,42,IT Project Management
Data Science and Analytics,76,68,91,IT Project Management
Data Science and Analytics,82,16,30,Data Science and Analytics
Data Science and Analytics,55,49,30,Data Science and Analytics
Data Science and Analytics,22,22,9,Data Science and Analytics
Data Science and Analytics,23,38,23,Data Science and Analytics
Data Science and Analytics,77,4,99,Data Science and Analytics
Data Science and Analytics,91,56,11,Data Science and Analytics
Data Science and Analytics,48,100,25,Data Science and Analytics
Data Science and Analytics,66,54,30,Data Science and Analytics
Data Science and Analytics,78,31,36,Data Science and Analytics
Data Science and Analytics,79,59,3,Data Science and Analytics
Data Science and Analytics,18,31,70,Data Science and Analytics
Data Science and Analytics,38,70,89,Data Science and Analytics
Data Science and Analytics,73,64,69,IT Project Management
Data Science and Analytics,95,28,79,Data Science and Analytics
Data Science and Analytics,99,88,97,Artificial Intelligence and Machine Learning
Data Science and Analytics,7,13,1,Data Science and Analytics
Data Science and Analytics,25,18,50,Data Science and Analytics
Data Science and Analytics,90,67,1,Data Science and Analytics
Data Science and Analytics,3,31,49,Data Science and Analytics
Data Science and Analytics,8,24,48,Data Science and Analytics
Data Science and Analytics,28,34,55,Data Science and Analytics
Data Science and Analytics,40,20,98,Data Science and Analytics
Data Science and Analytics,25,93,78,Data Science and Analytics
Data Science and Analytics,65,94,96,IT Project Management
Data Science and Analytics,32,62,17,Data Science and Analytics
Data Science and Analytics,77,95,41,IT Project Management
Data Science and Analytics,62,27,62,Data Science and Analytics
Data Science and Analytics,29,63,22,Data Science and Analytics
Data Science and Analytics,63,77,92,IT Project Management
Data Science and Analytics,64,87,10,Data Science and Analytics
Data Science and Analytics,14,57,95,Data Science and Analytics
Data Science and Analytics,26,87,71,Data Science and Analytics
Data Science and Analytics,96,37,81,Data Science and Analytics
Data Science and Analytics,100,50,82,IT Project Management
Data Science and Analytics,95,74,13,Data Science and Analytics
Data Science and Analytics,91,96,33,Data Science and Analytics
Data Science and Analytics,80,57,48,IT Project Management
Data Science and Analytics,97,46,10,Data Science and Analytics
Data Science and Analytics,89,47,0,Data Science and Analytics
Data Science and Analytics,77,26,93,Data Science and Analytics
Data Science and Analytics,21,34,48,Data Science and Analytics
Data Science and Analytics,18,88,97,Data Science and Analytics
Data Science and Analytics,51,72,5,Data Science and Analytics
Data Science and Analytics,54,45,7,Data Science and Analytics
Data Science and Analytics,30,50,29,Data Science and Analytics
